change_number,revision_number,rbe_gcp_started,rbe_gcp_state,rbe_gcp_time_seconds,rbe_gcp_time_minutes,rbe_bb_started,rbe_bb_state,rbe_bb_time_seconds,rbe_bb_time_minutes
401218,1,2024-01-08 14:30:31.000000000,SUCCESSFUL,1561.0,26.02,2024-01-08 14:30:36.000000000,SUCCESSFUL,672.0,11.2
401218,2,2024-01-10 09:00:36.000000000,SUCCESSFUL,2460.0,41.0,2024-01-10 09:00:34.000000000,FAILED,421.0,7.02
402542,1,2024-01-13 00:50:28.000000000,SUCCESSFUL,1476.0,24.6,2024-01-13 00:50:35.000000000,SUCCESSFUL,147.0,2.45
402539,1,2024-01-13 00:40:31.000000000,SUCCESSFUL,1369.0,22.82,2024-01-13 00:40:39.000000000,SUCCESSFUL,150.0,2.5
402189,1,2024-01-13 00:30:34.000000000,SUCCESSFUL,1132.0,18.87,2024-01-13 00:30:43.000000000,SUCCESSFUL,578.0,9.63
402190,1,2024-01-13 00:30:37.000000000,SUCCESSFUL,1128.0,18.8,2024-01-13 00:30:50.000000000,SUCCESSFUL,571.0,9.52
402191,1,2024-01-13 00:30:31.000000000,SUCCESSFUL,748.0,12.47,2024-01-13 00:30:45.000000000,SUCCESSFUL,577.0,9.62
402192,1,2024-01-13 00:30:33.000000000,SUCCESSFUL,1132.0,18.87,2024-01-13 00:30:48.000000000,SUCCESSFUL,574.0,9.57
402193,1,2024-01-13 00:30:37.000000000,SUCCESSFUL,1134.0,18.9,2024-01-13 00:30:50.000000000,SUCCESSFUL,572.0,9.53
402418,1,2024-01-12 19:15:27.000000000,SUCCESSFUL,1460.0,24.33,2024-01-12 19:15:37.000000000,SUCCESSFUL,558.0,9.3
402297,1,2024-01-12 09:35:27.000000000,SUCCESSFUL,1191.0,19.85,2024-01-12 09:35:35.000000000,SUCCESSFUL,529.0,8.82
